"Season","Age","Tm","Lg","Pos","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","player","ID"
"2020-21",21,"SAC","NBA","SF",6,85,21.2,0.6,0.324,0.176,6.4,17.2,11.8,15.4,4,3,9.8,20.6,0.2,0.1,0.3,0.16,2.3,2.5,4.9,0.1,"Louis King","kinglo02"
"2020-21",29,"DAL","NBA","PF",50,1341,10.6,0.606,0.771,0.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,1.6,1.3,2.9,0.103,-0.5,0.5,0,0.7,"Maxi Kleber","klebima01"
"2020-21",23,"ATL","NBA","PF",33,279,13.9,0.499,0.33,0.55,10.8,17.3,14.1,4,1.6,3.2,10.8,21.7,0.1,0.3,0.4,0.07,-2.6,-1,-3.7,-0.1,"Nathan Knight","knighna01"
"2020-21",21,"NYK","NBA","SF",42,464,9.1,0.537,0.622,0.14,2.4,11.8,7.1,5.9,1.3,1.2,10.1,16.2,0,0.6,0.6,0.065,-1.7,0.4,-1.4,0.1,"Kevin Knox","knoxke01"
"2020-21",24,"MEM","NBA","SG",43,575,14.8,0.608,0.406,0.217,6.4,17.3,11.8,10.7,2.5,1.4,10.6,12.4,0.9,0.8,1.7,0.145,-0.2,1.4,1.2,0.5,"John Konchar","konchjo01"
"2020-21",23,"PHI","NBA","SG",55,1062,12.8,0.544,0.634,0.193,1.8,9.8,5.9,11.1,2.2,0.8,9.1,20.5,0.6,1.5,2,0.092,-0.3,0.2,-0.1,0.5,"Furkan Korkmaz","korkmfu01"
"2020-21",25,"TOT","NBA","C,PF",31,348,13.3,0.511,0.584,0.059,4.4,17,10.7,9.5,0.6,8.5,6.3,13.7,0.2,0.5,0.7,0.095,-0.8,1.6,0.8,0.3,"Luke Kornet","kornelu01"
"2020-21",25,"CHI","NBA","PF",13,94,9.8,0.452,0.852,0.148,1.2,16.3,8.8,5.5,1,6.5,3.4,13.7,0,0.1,0.1,0.047,-0.6,1.3,0.6,0.1,"Luke Kornet","kornelu01"
"2020-21",25,"BOS","NBA","C",18,254,14.5,0.534,0.486,0.027,5.7,17.2,11.4,10.9,0.4,9.2,7.4,13.7,0.3,0.3,0.6,0.113,-0.8,1.8,0.9,0.2,"Luke Kornet","kornelu01"
"2020-21",25,"LAL","NBA","SF",68,1954,12.7,0.546,0.502,0.128,6.3,17.7,12,9.8,0.9,1.9,12.4,20.3,0.4,2.9,3.3,0.08,-0.4,-0.1,-0.4,0.8,"Kyle Kuzma","kuzmaky01"
"2020-21",25,"CHI","NBA","SG",58,2034,21.5,0.634,0.425,0.265,2,13.6,7.9,23.4,1.1,1.2,13.9,31,4,1.8,5.9,0.138,4.9,-0.8,4,3.1,"Zach LaVine","lavinza01"
"2020-21",23,"HOU","NBA","SF",24,415,8.7,0.523,0.602,0.178,6.7,11.5,9,7.9,0.7,1.1,13,15,0.1,0.1,0.2,0.023,-3.4,-2.7,-6.1,-0.4,"Anthony Lamb","lamban01"
"2020-21",21,"BOS","NBA","SG",18,283,5.1,0.436,0.305,0.203,4.7,9.1,6.9,5.9,1,1.7,13.5,11.3,-0.2,0.2,0,0.003,-4.9,0.2,-4.6,-0.2,"Romeo Langford","langfro01"
"2020-21",26,"TOT","NBA","SG",47,1486,17.8,0.531,0.317,0.221,2.5,13.1,7.8,25.4,2.1,1.7,10.2,28.7,0.9,1.5,2.4,0.077,0.9,-0.5,0.4,0.9,"Caris LeVert","leverca01"
"2020-21",26,"BRK","NBA","SG",12,334,19.1,0.516,0.315,0.17,3.5,13.2,8.6,34.1,1.9,1.6,10.8,31.5,0.3,0.3,0.6,0.084,2.1,-0.6,1.5,0.3,"Caris LeVert","leverca01"
"2020-21",26,"IND","NBA","SG",35,1152,17.4,0.535,0.318,0.238,2.2,13,7.6,22.9,2.2,1.7,10.1,27.9,0.6,1.2,1.8,0.075,0.5,-0.5,0,0.6,"Caris LeVert","leverca01"
"2020-21",28,"GSW","NBA","SG",57,1079,11.8,0.636,0.708,0.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,1.4,1.3,2.7,0.119,-0.7,0.9,0.2,0.6,"Damion Lee","leeda03"
"2020-21",21,"DET","NBA","PG",48,781,13.8,0.536,0.11,0.424,2.8,11.1,6.9,33.2,2,1.5,18.1,17,0.7,0.8,1.5,0.091,-2.1,0.2,-2,0,"Saben Lee","leesa01"
"2020-21",27,"TOT","NBA","C",64,979,16.4,0.643,0.09,0.417,8.5,19.7,14.1,7,0.9,5.6,14.3,16.3,1.5,1.3,2.7,0.133,-1.2,1,-0.1,0.5,"Alex Len","lenal01"
"2020-21",27,"TOR","NBA","C",7,76,4.3,0.633,0.6,0.6,0,16.5,8,5.2,0.6,7.9,38.8,11.7,-0.1,0.1,-0.1,-0.033,-6.5,2.5,-4,0,"Alex Len","lenal01"
"2020-21",27,"WAS","NBA","C",57,903,17.5,0.643,0.071,0.41,9.2,20,14.6,7.2,1,5.4,12.9,16.7,1.6,1.2,2.8,0.147,-0.7,0.9,0.2,0.5,"Alex Len","lenal01"
"2020-21",29,"LAC","NBA","SF",52,1773,26,0.622,0.28,0.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,6.4,2.4,8.8,0.238,6,1.3,7.3,4.2,"Kawhi Leonard","leonaka01"
"2020-21",28,"MIA","NBA","C",3,29,6.6,0.635,1,0.286,0,27.1,13.8,9.7,0,0,20.2,15.4,0,0,0,0.038,-3.3,-0.4,-3.7,0,"Meyers Leonard","leoname01"
"2020-21",19,"NOP","NBA","PG",54,904,10.3,0.477,0.356,0.151,1.4,7.1,4.3,18.7,2,1,8.6,18.3,0.2,0.6,0.9,0.045,-3.2,-0.2,-3.4,-0.3,"Kira Lewis Jr.","lewiski01"
"2020-21",30,"POR","NBA","PG",67,2398,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5,"Damian Lillard","lillada01"
