"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","player","ID"
"2020-21",25,"IND","NBA","SG","53","24","16.2","2.8","5.3",".525","0.7","1.7",".398","2.1","3.7",".582",".587","1.3","1.6",".819","0.3","1.4","1.8","0.9","0.6","0.2","1.0","1.7","7.5","Edmond Sumner","sumneed01"
"2020-21",25,"HOU","NBA","SF","70","58","29.2","4.5","8.9","0.506","0.9","2.8","0.308","3.7","6.1","0.595","0.554","1.5","2.1","0.694","1.9","3.5","5.3","2.5","1.2","0.5","1.4","3.2","11.3","Jae'Sean Tate","tateja01"
"2020-21",22,"BOS","NBA","SF","64","64","35.8","9.5","20.6","0.459","2.9","7.6","0.386","6.5","13","0.502","0.53","4.6","5.3","0.868","0.8","6.6","7.4","4.3","1.2","0.5","2.7","1.9","26.4","Jayson Tatum","tatumja01"
"2020-21",34,"CHI","NBA","SG","56","25","27.3","2.8","6.8",".415","1.2","3.6",".335","1.6","3.2",".503",".503","0.7","0.9",".800","0.5","2.3","2.9","2.2","0.8","0.5","1.0","2.3","7.6","Garrett Temple","templga01"
"2020-21",28,"TOT","NBA","C","65","51","24.6","3.9","7.2","0.541","0.8","2.3","0.322","3.1","4.8","0.646","0.593","1.1","1.7","0.673","1.4","4","5.5","1.7","0.6","0.9","1","2.6","9.6","Daniel Theis","theisda01"
"2020-21",28,"BOS","NBA","C","42","37","24.5","3.8","6.9","0.552","0.8","2.3","0.347","3","4.6","0.653","0.609","1.1","1.6","0.687","1.3","4","5.2","1.6","0.6","1","1","2.9","9.5","Daniel Theis","theisda01"
"2020-21",28,"CHI","NBA","C","23","14","25","4","7.7","0.522","0.7","2.5","0.281","3.3","5.3","0.636","0.567","1.2","1.9","0.651","1.7","4.2","5.9","1.8","0.7","0.6","1.1","2","10","Daniel Theis","theisda01"
"2020-21",30,"Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Did Not Play (injury—achilles)","Klay Thompson","thompkl01"
"2020-21",23,"PHI","NBA","SG","65","8","20","1.6","3.7","0.42","0.7","2.2","0.301","0.9","1.5","0.59","0.508","0.1","0.3","0.444","0.5","1.4","1.9","1","1.6","1.1","0.5","2","3.9","Matisse Thybulle","thybuma01"
"2020-21",22,"MEM","NBA","PF","59","12","18.4","2.8","5.1","0.559","0.4","1.1","0.338","2.5","4","0.62","0.595","0.6","0.9","0.642","1.3","3.1","4.3","1.3","0.7","0.6","0.8","2","6.6","Xavier Tillman Sr.","tillmxa01"
"2020-21",22,"NYK","NBA","PF","62","0","11","1.7","3.4","0.498","0.4","1.4","0.306","1.3","2","0.629","0.56","0.3","0.4","0.731","0.4","1.8","2.2","0.5","0.3","0.2","0.4","0.9","4.1","Obi Toppin","toppiob01"
"2020-21",27,"GSW","NBA","SG","53","16","20.9","2.3","3.9","0.579","0.7","1.7","0.402","1.6","2.2","0.718","0.667","0.4","0.6","0.71","0.5","3.9","4.4","2.8","0.8","0.5","1.2","2.1","5.7","Juan Toscano-Anderson","toscaju01"
"2020-21",25,"MIN","NBA","C","50","50","33.8","8.5","17.5","0.486","2.4","6.3","0.387","6.1","11.2","0.541","0.555","5.3","6.2","0.859","2.7","7.9","10.6","4.5","0.8","1.1","3.2","3.7","24.8","Karl-Anthony Towns","townska01"
"2020-21",22,"TOT","NBA","SG","58","38","31.1","5.5","13.5","0.408","2.8","7.4","0.385","2.7","6.1","0.435","0.513","1.4","1.8","0.783","0.5","2.2","2.6","1.4","1","0.2","0.7","1.6","15.3","Gary Trent Jr.","trentga02"
"2020-21",22,"POR","NBA","SG","41","23","30.8","5.3","12.8","0.414","3","7.4","0.397","2.3","5.3","0.438","0.53","1.4","1.8","0.773","0.5","1.7","2.2","1.4","0.9","0.1","0.8","1.5","15","Gary Trent Jr.","trentga02"
"2020-21",22,"TOR","NBA","SG","17","15","31.8","6.1","15.4","0.395","2.6","7.3","0.355","3.5","8.1","0.431","0.479","1.5","1.8","0.806","0.4","3.2","3.6","1.3","1.1","0.2","0.7","1.7","16.2","Gary Trent Jr.","trentga02"
"2020-21",35,"TOT","NBA","PF","52","33","26.1","1.3","3.4",".373","0.8","2.3",".336","0.5","1.1",".448",".486","0.4","0.5",".750","1.0","2.9","3.9","1.2","0.8","0.4","0.8","2.4","3.7","P.J. Tucker","tuckepj01"
"2020-21",35,"HOU","NBA","PF","32","32","30.0","1.5","4.1",".366","0.8","2.7",".314","0.7","1.4",".467",".469","0.6","0.7",".783","1.0","3.6","4.6","1.4","0.9","0.6","1.0","2.8","4.4","P.J. Tucker","tuckepj01"
